2022-12-17 14:01:55,762 INFO    StreamThr :8097 [internal.py:wandb_internal():87] W&B internal server running at pid: 8097, started at: 2022-12-17 14:01:55.762440
2022-12-17 14:01:55,763 DEBUG   HandlerThread:8097 [handler.py:handle_request():139] handle_request: status
2022-12-17 14:01:55,764 DEBUG   SenderThread:8097 [sender.py:send_request():317] send_request: status
2022-12-17 14:01:55,765 INFO    WriterThread:8097 [datastore.py:open_for_write():75] open: /media/jonathan/62E2EFF0E2EFC67F/Users/joeda/PycharmProjects/IA-MED_IMG/CheXpert2/training/wandb/offline-run-20221217_140155-1lcpjfcj/run-1lcpjfcj.wandb
2022-12-17 14:01:55,774 DEBUG   HandlerThread:8097 [handler.py:handle_request():139] handle_request: run_start
2022-12-17 14:01:55,778 DEBUG   HandlerThread:8097 [system_info.py:__init__():31] System info init
2022-12-17 14:01:55,778 DEBUG   HandlerThread:8097 [system_info.py:__init__():46] System info init done
2022-12-17 14:01:55,778 INFO    HandlerThread:8097 [system_monitor.py:start():150] Starting system monitor
2022-12-17 14:01:55,778 INFO    SystemMonitor:8097 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-17 14:01:55,778 INFO    HandlerThread:8097 [system_monitor.py:probe():171] Collecting system info
2022-12-17 14:01:55,779 INFO    SystemMonitor:8097 [interfaces.py:start():168] Started cpu
2022-12-17 14:01:55,779 INFO    SystemMonitor:8097 [interfaces.py:start():168] Started disk
2022-12-17 14:01:55,779 INFO    SystemMonitor:8097 [interfaces.py:start():168] Started gpu
2022-12-17 14:01:55,780 INFO    SystemMonitor:8097 [interfaces.py:start():168] Started memory
2022-12-17 14:01:55,780 INFO    SystemMonitor:8097 [interfaces.py:start():168] Started network
2022-12-17 14:01:55,789 DEBUG   HandlerThread:8097 [system_info.py:probe():195] Probing system
2022-12-17 14:01:55,791 DEBUG   HandlerThread:8097 [system_info.py:_probe_git():180] Probing git
2022-12-17 14:01:55,797 DEBUG   HandlerThread:8097 [system_info.py:_probe_git():188] Probing git done
2022-12-17 14:01:55,797 DEBUG   HandlerThread:8097 [system_info.py:probe():241] Probing system done
